train_loss,train_acc,epoch,step,val_acc,val_loss,test_acc,test_loss
1.2838035821914673,0.6875,0,49,,,,
0.4233334958553314,0.890625,0,99,,,,
0.5117583870887756,0.859375,0,149,,,,
0.41186004877090454,0.890625,0,199,,,,
0.3261032998561859,0.875,0,249,,,,
0.185045525431633,0.9375,0,299,,,,
0.15375468134880066,0.96875,0,349,,,,
0.259459912776947,0.90625,0,399,,,,
0.1284661740064621,0.96875,0,449,,,,
0.13736818730831146,0.96875,0,499,,,,
0.22433368861675262,0.9375,0,549,,,,
0.09242500364780426,0.984375,0,599,,,,
0.10086654871702194,0.96875,0,649,,,,
0.2519197463989258,0.890625,0,699,,,,
0.0822206363081932,0.984375,0,749,,,,
0.12077885121107101,0.96875,0,799,,,,
0.08696083724498749,0.984375,0,849,,,,
,,0,859,0.9588000178337097,0.13324442505836487,,
0.06980811804533005,0.984375,1,899,,,,
0.04753855988383293,1.0,1,949,,,,
0.11472867429256439,0.953125,1,999,,,,
0.1007419005036354,0.953125,1,1049,,,,
0.1461082249879837,0.96875,1,1099,,,,
0.07003500312566757,0.984375,1,1149,,,,
0.036444325000047684,1.0,1,1199,,,,
0.08648808300495148,0.96875,1,1249,,,,
0.050361089408397675,0.984375,1,1299,,,,
0.03326532244682312,1.0,1,1349,,,,
0.08378172665834427,0.96875,1,1399,,,,
0.09920906275510788,0.96875,1,1449,,,,
0.11662960797548294,0.984375,1,1499,,,,
0.10501846671104431,0.96875,1,1549,,,,
0.0701143741607666,0.96875,1,1599,,,,
0.08181282877922058,0.984375,1,1649,,,,
0.03731274977326393,0.984375,1,1699,,,,
,,1,1719,0.9765999913215637,0.08271101862192154,,
0.2759326696395874,0.9375,2,1749,,,,
0.13218091428279877,0.953125,2,1799,,,,
0.17477139830589294,0.953125,2,1849,,,,
0.0352589376270771,0.984375,2,1899,,,,
0.025087891146540642,1.0,2,1949,,,,
0.04831259697675705,0.984375,2,1999,,,,
0.07336913049221039,0.96875,2,2049,,,,
0.04495493695139885,1.0,2,2099,,,,
0.049854133278131485,0.984375,2,2149,,,,
0.03262417018413544,1.0,2,2199,,,,
0.09804785251617432,0.953125,2,2249,,,,
0.07490500807762146,0.96875,2,2299,,,,
0.054872799664735794,0.984375,2,2349,,,,
0.09334544837474823,0.984375,2,2399,,,,
0.01122385822236538,1.0,2,2449,,,,
0.028123656287789345,1.0,2,2499,,,,
0.08253316581249237,0.984375,2,2549,,,,
,,2,2579,0.9742000102996826,0.08211472630500793,,
,,2,2580,,,0.9804999828338623,0.0610649473965168
